"";"NoF";"CTC";"pruTime.mean.mean";"priTime.mean.mean";"packTime.mean.mean"
"1";10;5;5,66666666666667;5,63333333333333;7,9
"2";10;10;1,7;1,93333333333333;2,7
"3";10;15;1,5;1,36666666666667;1,9
"4";20;5;2,93333333333333;3,23333333333333;4,23333333333333
"5";20;10;3,23333333333333;3,36666666666667;4,16666666666667
"6";20;15;2,06666666666667;2;2,76666666666667
"7";30;5;3,66666666666667;3,96666666666667;5,26666666666667
"8";30;10;3,16666666666667;3,76666666666667;5,23333333333333
"9";30;15;3,03333333333333;3,46666666666667;4,86666666666667
"10";50;5;9,26666666666667;10,2;13,5666666666667
"11";50;10;7,16666666666667;8,16666666666667;11,1333333333333
"12";50;15;7,93333333333333;8,2;11,1666666666667
"13";100;5;36,6;40,6;53,1333333333333
"14";100;10;30,6;33,2;43,4333333333333
"15";100;15;32,8;35,0666666666667;44,9
"16";200;5;153,266666666667;163,866666666667;208,933333333333
"17";200;10;138,2;144,9;181,633333333333
"18";200;15;125,266666666667;129,733333333333;162,366666666667
"19";300;5;345,6;367,566666666667;456,4
"20";300;10;324,133333333333;335,8;406,833333333333
"21";300;15;321,133333333333;326,7;398,466666666667
"22";400;5;677,933333333333;679,766666666667;810,2
"23";400;10;560,9;565,133333333333;684,8
"24";400;15;478,5;498,5;617,9
"25";500;5;1004,26666666667;1026;1258,16666666667
"26";500;10;953,5;945,966666666667;1139,53333333333
"27";500;15;877,7;902,7;1113,03333333333
