Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime;packTime
10-5-0-0;10;5;0;4;32;2;21;30
10-5-0-1;10;5;0;3;25;2;27;33
10-5-0-2;10;5;0;4;6;4;8;12
10-5-0-3;10;5;0;2;17;2;12;16
10-5-0-4;10;5;0;1;12;2;20;25
10-5-0-5;10;5;0;2;9;2;6;9
10-5-0-6;10;5;0;1;5;1;10;12
10-5-0-7;10;5;0;1;11;2;14;16
10-5-0-8;10;5;0;1;2;2;4;7
10-5-0-9;10;5;0;1;1;1;1;2
10-5-2-0;10;5;2;1;7;1;3;5
10-5-2-1;10;5;2;1;0;1;1;2
10-5-2-2;10;5;2;1;7;1;6;8
10-5-2-3;10;5;2;2;2;2;2;4
10-5-2-4;10;5;2;1;3;1;4;6
10-5-2-5;10;5;2;1;2;1;3;5
10-5-2-6;10;5;2;1;3;1;3;4
10-5-2-7;10;5;2;1;3;1;4;5
10-5-2-8;10;5;2;1;5;0;4;6
10-5-2-9;10;5;2;0;0;1;0;1
10-5-5-0;10;5;5;1;3;1;3;5
10-5-5-1;10;5;5;1;0;1;0;1
10-5-5-2;10;5;5;1;4;1;3;5
10-5-5-3;10;5;5;1;2;1;2;3
10-5-5-4;10;5;5;1;0;1;0;1
10-5-5-5;10;5;5;1;0;1;0;1
10-5-5-6;10;5;5;1;5;1;4;6
10-5-5-7;10;5;5;0;1;1;1;2
10-5-5-8;10;5;5;1;1;1;1;2
10-5-5-9;10;5;5;1;2;0;2;3
10-10-0-0;10;10;0;0;5;0;5;6
10-10-0-1;10;10;0;0;3;1;2;4
10-10-0-2;10;10;0;1;0;0;0;1
10-10-0-3;10;10;0;0;2;0;3;4
10-10-0-4;10;10;0;0;3;0;2;2
10-10-0-5;10;10;0;1;4;0;3;4
10-10-0-6;10;10;0;0;3;1;2;4
10-10-0-7;10;10;0;0;1;0;1;1
10-10-0-8;10;10;0;0;4;0;4;5
10-10-0-9;10;10;0;1;2;0;2;2
10-10-2-0;10;10;2;1;2;0;3;4
10-10-2-1;10;10;2;1;1;1;3;5
10-10-2-2;10;10;2;1;3;0;4;5
10-10-2-3;10;10;2;1;0;1;1;2
10-10-2-4;10;10;2;1;2;1;2;3
10-10-2-5;10;10;2;1;2;1;2;3
10-10-2-6;10;10;2;0;2;0;3;4
10-10-2-7;10;10;2;1;2;1;1;2
10-10-2-8;10;10;2;1;1;0;2;2
10-10-2-9;10;10;2;1;1;0;2;3
10-10-5-0;10;10;5;1;2;0;3;3
10-10-5-1;10;10;5;1;0;0;0;0
10-10-5-2;10;10;5;1;0;1;0;0
10-10-5-3;10;10;5;1;2;1;2;2
10-10-5-4;10;10;5;1;0;0;1;2
10-10-5-5;10;10;5;0;0;0;1;1
10-10-5-6;10;10;5;1;2;0;2;2
10-10-5-7;10;10;5;0;0;1;0;1
10-10-5-8;10;10;5;0;1;1;1;2
10-10-5-9;10;10;5;0;1;1;1;2
10-15-0-0;10;15;0;1;1;0;1;2
10-15-0-1;10;15;0;1;3;1;3;4
10-15-0-2;10;15;0;0;3;0;3;3
10-15-0-3;10;15;0;0;4;0;4;4
10-15-0-4;10;15;0;0;2;0;1;1
10-15-0-5;10;15;0;0;3;0;2;3
10-15-0-6;10;15;0;1;1;0;1;2
10-15-0-7;10;15;0;0;3;0;3;3
10-15-0-8;10;15;0;0;1;0;2;2
10-15-0-9;10;15;0;0;3;0;2;2
10-15-2-0;10;15;2;0;1;1;1;2
10-15-2-1;10;15;2;0;1;0;1;1
10-15-2-2;10;15;2;0;1;1;1;2
10-15-2-3;10;15;2;0;1;1;1;2
10-15-2-4;10;15;2;0;2;0;2;3
10-15-2-5;10;15;2;1;1;0;1;1
10-15-2-6;10;15;2;0;2;0;1;1
10-15-2-7;10;15;2;1;0;0;2;2
10-15-2-8;10;15;2;1;0;1;0;1
10-15-2-9;10;15;2;0;1;0;1;1
10-15-5-0;10;15;5;0;2;0;2;2
10-15-5-1;10;15;5;0;1;0;1;2
10-15-5-2;10;15;5;0;1;0;0;1
10-15-5-3;10;15;5;0;0;1;0;1
10-15-5-4;10;15;5;0;1;1;0;1
10-15-5-5;10;15;5;0;1;1;1;2
10-15-5-6;10;15;5;0;1;1;1;1
10-15-5-7;10;15;5;0;1;0;1;1
10-15-5-8;10;15;5;0;1;0;1;2
10-15-5-9;10;15;5;1;2;0;1;2
20-5-0-0;20;5;0;0;5;1;5;6
20-5-0-1;20;5;0;1;2;1;5;4
20-5-0-2;20;5;0;1;5;1;5;7
20-5-0-3;20;5;0;1;2;1;2;3
20-5-0-4;20;5;0;1;3;1;3;5
20-5-0-5;20;5;0;0;2;0;3;4
20-5-0-6;20;5;0;1;2;1;3;4
20-5-0-7;20;5;0;0;5;0;5;7
20-5-0-8;20;5;0;1;3;1;3;4
20-5-0-9;20;5;0;1;1;0;2;3
20-5-2-0;20;5;2;1;2;1;3;3
20-5-2-1;20;5;2;1;2;1;2;3
20-5-2-2;20;5;2;1;5;0;4;5
20-5-2-3;20;5;2;0;5;1;6;8
20-5-2-4;20;5;2;0;3;0;3;4
20-5-2-5;20;5;2;0;3;0;4;5
20-5-2-6;20;5;2;0;4;0;2;2
20-5-2-7;20;5;2;0;4;0;4;5
20-5-2-8;20;5;2;1;4;1;4;6
20-5-2-9;20;5;2;0;5;1;5;6
20-5-5-0;20;5;5;0;1;0;3;4
20-5-5-1;20;5;5;0;0;1;0;1
20-5-5-2;20;5;5;1;1;1;1;3
20-5-5-3;20;5;5;1;3;0;4;4
20-5-5-4;20;5;5;0;1;1;0;2
20-5-5-5;20;5;5;0;2;0;2;2
20-5-5-6;20;5;5;1;3;0;3;4
20-5-5-7;20;5;5;0;4;1;4;5
20-5-5-8;20;5;5;1;1;0;2;2
20-5-5-9;20;5;5;0;5;1;5;6
20-10-0-0;20;10;0;0;4;0;5;6
20-10-0-1;20;10;0;0;5;0;6;7
20-10-0-2;20;10;0;0;4;1;5;7
20-10-0-3;20;10;0;1;3;0;4;4
20-10-0-4;20;10;0;0;4;1;4;5
20-10-0-5;20;10;0;1;4;0;5;5
20-10-0-6;20;10;0;1;4;0;5;5
20-10-0-7;20;10;0;0;5;0;4;5
20-10-0-8;20;10;0;0;6;1;7;8
20-10-0-9;20;10;0;0;5;1;3;4
20-10-2-0;20;10;2;1;2;0;2;2
20-10-2-1;20;10;2;1;3;0;3;4
20-10-2-2;20;10;2;0;5;0;5;5
20-10-2-3;20;10;2;1;1;1;1;2
20-10-2-4;20;10;2;0;0;1;0;1
20-10-2-5;20;10;2;1;0;1;0;1
20-10-2-6;20;10;2;0;4;0;4;5
20-10-2-7;20;10;2;1;1;0;2;2
20-10-2-8;20;10;2;0;5;0;7;7
20-10-2-9;20;10;2;0;3;1;2;4
20-10-5-0;20;10;5;0;4;1;3;5
20-10-5-1;20;10;5;1;4;0;3;4
20-10-5-2;20;10;5;0;3;1;3;4
20-10-5-3;20;10;5;1;4;0;3;3
20-10-5-4;20;10;5;0;2;1;3;4
20-10-5-5;20;10;5;0;1;0;0;1
20-10-5-6;20;10;5;1;3;1;4;5
20-10-5-7;20;10;5;0;4;0;4;4
20-10-5-8;20;10;5;1;1;0;1;2
20-10-5-9;20;10;5;0;3;0;3;4
20-15-0-0;20;15;0;1;5;0;6;7
20-15-0-1;20;15;0;0;0;0;1;1
20-15-0-2;20;15;0;1;3;1;3;5
20-15-0-3;20;15;0;0;1;1;0;1
20-15-0-4;20;15;0;0;2;0;2;3
20-15-0-5;20;15;0;0;3;0;2;2
20-15-0-6;20;15;0;0;4;0;5;6
20-15-0-7;20;15;0;0;4;0;5;5
20-15-0-8;20;15;0;1;2;1;2;3
20-15-0-9;20;15;0;0;3;0;2;3
20-15-2-0;20;15;2;0;2;0;3;3
20-15-2-1;20;15;2;0;3;0;4;5
20-15-2-2;20;15;2;0;8;0;2;3
20-15-2-3;20;15;2;0;2;1;1;2
20-15-2-4;20;15;2;0;3;0;3;4
20-15-2-5;20;15;2;1;1;0;1;2
20-15-2-6;20;15;2;1;1;1;1;2
20-15-2-7;20;15;2;0;2;0;2;2
20-15-2-8;20;15;2;0;1;0;2;2
20-15-2-9;20;15;2;0;2;1;1;2
20-15-5-0;20;15;5;1;1;0;1;2
20-15-5-1;20;15;5;1;1;0;2;3
20-15-5-2;20;15;5;0;0;0;0;0
20-15-5-3;20;15;5;0;1;1;1;2
20-15-5-4;20;15;5;0;2;1;1;3
