Name;NoF;CTC;eCTC;packTime
10-5-0-0;10;5;0;33
10-5-0-1;10;5;0;34
10-5-0-2;10;5;0;15
10-5-0-3;10;5;0;23
10-5-0-4;10;5;0;34
10-5-0-5;10;5;0;14
10-5-0-6;10;5;0;20
10-5-0-7;10;5;0;33
10-5-0-8;10;5;0;14
10-5-0-9;10;5;0;5
10-5-2-0;10;5;2;10
10-5-2-1;10;5;2;4
10-5-2-2;10;5;2;13
10-5-2-3;10;5;2;7
10-5-2-4;10;5;2;9
10-5-2-5;10;5;2;9
10-5-2-6;10;5;2;10
10-5-2-7;10;5;2;12
10-5-2-8;10;5;2;14
10-5-2-9;10;5;2;2
10-5-5-0;10;5;5;11
10-5-5-1;10;5;5;2
10-5-5-2;10;5;5;11
10-5-5-3;10;5;5;6
10-5-5-4;10;5;5;2
10-5-5-5;10;5;5;3
10-5-5-6;10;5;5;10
10-5-5-7;10;5;5;3
10-5-5-8;10;5;5;4
10-5-5-9;10;5;5;5
10-10-0-0;10;10;0;12
10-10-0-1;10;10;0;8
10-10-0-2;10;10;0;1
10-10-0-3;10;10;0;8
10-10-0-4;10;10;0;4
10-10-0-5;10;10;0;8
10-10-0-6;10;10;0;5
10-10-0-7;10;10;0;2
10-10-0-8;10;10;0;9
10-10-0-9;10;10;0;4
10-10-2-0;10;10;2;8
10-10-2-1;10;10;2;9
10-10-2-2;10;10;2;8
10-10-2-3;10;10;2;4
10-10-2-4;10;10;2;5
10-10-2-5;10;10;2;5
10-10-2-6;10;10;2;6
10-10-2-7;10;10;2;3
10-10-2-8;10;10;2;5
10-10-2-9;10;10;2;5
10-10-5-0;10;10;5;6
10-10-5-1;10;10;5;1
10-10-5-2;10;10;5;2
10-10-5-3;10;10;5;5
10-10-5-4;10;10;5;2
10-10-5-5;10;10;5;1
10-10-5-6;10;10;5;4
10-10-5-7;10;10;5;2
10-10-5-8;10;10;5;2
10-10-5-9;10;10;5;2
10-15-0-0;10;15;0;2
10-15-0-1;10;15;0;7
10-15-0-2;10;15;0;5
10-15-0-3;10;15;0;8
10-15-0-4;10;15;0;4
10-15-0-5;10;15;0;7
10-15-0-6;10;15;0;4
10-15-0-7;10;15;0;5
10-15-0-8;10;15;0;3
10-15-0-9;10;15;0;5
10-15-2-0;10;15;2;3
10-15-2-1;10;15;2;2
10-15-2-2;10;15;2;4
10-15-2-3;10;15;2;4
10-15-2-4;10;15;2;4
10-15-2-5;10;15;2;3
10-15-2-6;10;15;2;3
10-15-2-7;10;15;2;3
10-15-2-8;10;15;2;2
10-15-2-9;10;15;2;2
10-15-5-0;10;15;5;4
10-15-5-1;10;15;5;2
10-15-5-2;10;15;5;1
10-15-5-3;10;15;5;1
10-15-5-4;10;15;5;2
10-15-5-5;10;15;5;3
10-15-5-6;10;15;5;2
10-15-5-7;10;15;5;1
10-15-5-8;10;15;5;2
10-15-5-9;10;15;5;3
20-5-0-0;20;5;0;10
20-5-0-1;20;5;0;5
20-5-0-2;20;5;0;9
20-5-0-3;20;5;0;5
20-5-0-4;20;5;0;7
20-5-0-5;20;5;0;6
