Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime
10-5-0-0;10;5;0;4;32;3;21
10-5-0-1;10;5;0;2;27;3;29
10-5-0-2;10;5;0;3;8;4;10
10-5-0-3;10;5;0;2;23;3;15
10-5-0-4;10;5;0;2;15;2;26
10-5-0-5;10;5;0;2;11;2;7
10-5-0-6;10;5;0;2;6;1;12
10-5-0-7;10;5;0;1;16;2;21
10-5-0-8;10;5;0;2;3;1;7
10-5-0-9;10;5;0;2;1;2;1
10-5-2-0;10;5;2;2;9;2;4
10-5-2-1;10;5;2;2;1;1;1
10-5-2-2;10;5;2;1;10;2;7
10-5-2-3;10;5;2;2;2;2;3
10-5-2-4;10;5;2;2;4;2;5
10-5-2-5;10;5;2;2;3;2;5
10-5-2-6;10;5;2;2;4;2;5
10-5-2-7;10;5;2;1;5;1;7
10-5-2-8;10;5;2;1;7;1;7
10-5-2-9;10;5;2;0;1;1;0
10-5-5-0;10;5;5;1;5;1;6
10-5-5-1;10;5;5;1;0;1;0
10-5-5-2;10;5;5;2;6;2;5
10-5-5-3;10;5;5;1;3;1;4
10-5-5-4;10;5;5;1;0;1;0
10-5-5-5;10;5;5;1;1;1;1
10-5-5-6;10;5;5;1;8;1;7
10-5-5-7;10;5;5;1;1;2;0
10-5-5-8;10;5;5;1;1;1;1
10-5-5-9;10;5;5;1;3;1;3
10-10-0-0;10;10;0;0;6;1;7
10-10-0-1;10;10;0;1;4;1;3
10-10-0-2;10;10;0;1;0;1;0
10-10-0-3;10;10;0;1;3;1;3
10-10-0-4;10;10;0;1;3;0;2
10-10-0-5;10;10;0;1;5;1;4
10-10-0-6;10;10;0;0;4;1;3
10-10-0-7;10;10;0;1;1;1;0
10-10-0-8;10;10;0;1;4;1;4
10-10-0-9;10;10;0;1;2;1;1
10-10-2-0;10;10;2;1;3;1;3
10-10-2-1;10;10;2;1;2;0;5
10-10-2-2;10;10;2;1;3;1;4
10-10-2-3;10;10;2;1;1;1;1
10-10-2-4;10;10;2;1;2;0;3
10-10-2-5;10;10;2;0;3;1;2
10-10-2-6;10;10;2;1;2;0;3
10-10-2-7;10;10;2;1;1;1;1
10-10-2-8;10;10;2;1;2;1;1
10-10-2-9;10;10;2;1;1;1;1
10-10-5-0;10;10;5;0;3;0;3
10-10-5-1;10;10;5;0;1;1;0
10-10-5-2;10;10;5;1;0;0;1
10-10-5-3;10;10;5;1;2;0;2
10-10-5-4;10;10;5;1;0;0;1
10-10-5-5;10;10;5;1;0;1;0
10-10-5-6;10;10;5;1;2;1;2
10-10-5-7;10;10;5;1;0;1;0
10-10-5-8;10;10;5;1;0;1;1
10-10-5-9;10;10;5;1;0;0;1
10-15-0-0;10;15;0;1;1;0;1
10-15-0-1;10;15;0;0;4;0;5
10-15-0-2;10;15;0;1;2;0;3
10-15-0-3;10;15;0;1;4;1;5
10-15-0-4;10;15;0;0;2;0;2
10-15-0-5;10;15;0;1;3;0;3
10-15-0-6;10;15;0;1;3;0;3
10-15-0-7;10;15;0;0;4;0;4
10-15-0-8;10;15;0;1;1;0;2
10-15-0-9;10;15;0;1;3;1;3
10-15-2-0;10;15;2;0;2;0;3
10-15-2-1;10;15;2;0;1;0;2
10-15-2-2;10;15;2;0;2;0;2
10-15-2-3;10;15;2;1;2;0;3
10-15-2-4;10;15;2;0;3;0;3
10-15-2-5;10;15;2;0;2;0;2
10-15-2-6;10;15;2;0;3;0;2
10-15-2-7;10;15;2;0;1;1;2
10-15-2-8;10;15;2;0;2;1;1
10-15-2-9;10;15;2;0;2;0;2
10-15-5-0;10;15;5;0;3;0;3
10-15-5-1;10;15;5;0;1;1;1
10-15-5-2;10;15;5;0;1;0;1
10-15-5-3;10;15;5;1;0;1;0
10-15-5-4;10;15;5;1;1;1;1
10-15-5-5;10;15;5;0;2;0;2
10-15-5-6;10;15;5;0;1;1;1
10-15-5-7;10;15;5;1;0;0;1
10-15-5-8;10;15;5;1;1;1;1
10-15-5-9;10;15;5;0;3;1;2
20-5-0-0;20;5;0;0;6;1;8
20-5-0-1;20;5;0;1;3;1;4
20-5-0-2;20;5;0;1;7;1;8
20-5-0-3;20;5;0;1;4;1;3
20-5-0-4;20;5;0;0;5;1;5
20-5-0-5;20;5;0;1;2;1;4
20-5-0-6;20;5;0;1;4;1;4
20-5-0-7;20;5;0;1;5;1;7
20-5-0-8;20;5;0;0;5;1;4
20-5-0-9;20;5;0;1;2;1;2
20-5-2-0;20;5;2;1;3;0;4
20-5-2-1;20;5;2;1;2;1;4
20-5-2-2;20;5;2;0;8;1;6
20-5-2-3;20;5;2;0;6;1;8
20-5-2-4;20;5;2;1;3;1;4
20-5-2-5;20;5;2;1;3;1;4
20-5-2-6;20;5;2;1;4;1;2
20-5-2-7;20;5;2;0;4;0;5
20-5-2-8;20;5;2;0;6;0;5
20-5-2-9;20;5;2;0;6;0;6
20-5-5-0;20;5;5;1;1;1;3
20-5-5-1;20;5;5;0;0;0;1
20-5-5-2;20;5;5;1;1;1;2
20-5-5-3;20;5;5;1;4;1;4
20-5-5-4;20;5;5;1;0;0;1
20-5-5-5;20;5;5;1;2;0;2
20-5-5-6;20;5;5;1;4;1;4
20-5-5-7;20;5;5;0;5;0;5
20-5-5-8;20;5;5;0;3;0;2
20-5-5-9;20;5;5;1;5;0;7
20-10-0-0;20;10;0;0;4;1;6
20-10-0-1;20;10;0;0;5;1;6
20-10-0-2;20;10;0;1;4;0;6
20-10-0-3;20;10;0;0;4;0;4
20-10-0-4;20;10;0;1;4;0;6
20-10-0-5;20;10;0;0;5;1;6
20-10-0-6;20;10;0;1;5;1;6
20-10-0-7;20;10;0;0;7;0;6
20-10-0-8;20;10;0;1;8;0;11
20-10-0-9;20;10;0;1;7;0;5
20-10-2-0;20;10;2;1;3;0;3
20-10-2-1;20;10;2;0;6;0;5
20-10-2-2;20;10;2;0;7;0;7
20-10-2-3;20;10;2;0;2;1;1
20-10-2-4;20;10;2;0;0;1;0
20-10-2-5;20;10;2;1;0;0;0
20-10-2-6;20;10;2;1;4;1;6
20-10-2-7;20;10;2;1;2;1;2
20-10-2-8;20;10;2;0;8;0;10
20-10-2-9;20;10;2;1;5;1;4
20-10-5-0;20;10;5;1;4;1;5
20-10-5-1;20;10;5;1;6;1;5
20-10-5-2;20;10;5;0;5;1;4
20-10-5-3;20;10;5;0;6;0;4
20-10-5-4;20;10;5;0;4;0;5
20-10-5-5;20;10;5;0;1;1;0
20-10-5-6;20;10;5;0;5;0;6
20-10-5-7;20;10;5;1;4;0;4
20-10-5-8;20;10;5;0;2;1;1
20-10-5-9;20;10;5;0;4;0;4
20-15-0-0;20;15;0;0;6;0;7
20-15-0-1;20;15;0;1;0;0;0
20-15-0-2;20;15;0;0;3;1;4
20-15-0-3;20;15;0;1;0;1;0
20-15-0-4;20;15;0;0;2;0;3
